source_row,left,right,s_IE,s_SN,s_FT,s_JP,anchor_collision,anchor_occurrences,analysis_eligible,is_defining,has_reversed_twin
1,likes action,likes drama,-0.14,0.18,-0.49,0.21,False,1,True,False,False
2,realistic,imaginative,0.12,0.63,-0.71,0.71,False,1,True,False,False
3,criticism leads to feelings of guilt,criticism leads to feelings of anger,0.16,-0.08,0.56,-0.09,False,1,True,False,False
4,loses track of time,good sense of time,0.19,-0.4,0.32,-0.83,False,1,True,False,False
5,angry,resentful,-0.21,0.02,-0.0,-0.04,False,1,True,False,False
6,wishes their life was more interesting,finds their life interesting enough,0.18,-0.14,0.13,-0.25,False,1,True,False,False
7,talks over a decision with other people,makes it alone,-0.89,0.48,0.84,-0.04,False,1,True,False,False
8,"when judging others, considers intent",only considers outcome,0.02,-0.25,0.64,-0.07,False,1,True,False,False
9,makes things,breaks things,0.19,-0.12,0.02,0.36,False,1,True,False,False
10,likes knowing all the facts,likes filling in the blanks,0.13,0.52,-0.38,0.58,False,1,True,False,False
11,learns before doing,learns while doing,0.72,0.03,-0.26,0.65,False,1,True,False,False
12,careful,extreme,0.73,0.18,0.02,0.65,False,1,True,False,False
13,uses reason,uses instinct,0.37,0.33,-1.17,0.45,False,1,True,False,False
14,learns by doing,learns by watching,-0.34,0.24,0.13,-0.1,False,1,True,False,False
15,trusts personal experience,trusts theory,-0.26,0.37,0.67,0.04,False,1,True,False,False
16,prepares,improvises,0.43,0.28,-0.15,1.43,False,1,True,True,False
17,often thinks about what they should have done differently,does not second guess,0.46,-0.03,0.09,0.09,False,1,True,False,False
18,likes small talk,hates small talk,-0.98,0.25,0.28,-0.15,False,1,True,False,False
19,organized,chaotic,0.16,0.21,-0.25,1.15,False,1,True,True,False
20,thinks role models are important,thinks the importance of role models is exaggerated,-0.45,0.02,0.62,0.2,False,1,True,False,False
21,interested in realities,interested in possibilities,0.14,0.75,-0.36,0.42,False,1,True,False,False
22,afraid of the dark,likes the dark,-0.26,0.27,0.54,0.01,False,1,True,False,False
23,focused on the present,focused on the future,-0.04,0.72,0.1,-0.23,False,1,True,True,False
24,focuses on the big picture,takes care of the little details,-0.3,-0.61,-0.1,-0.34,False,1,True,False,False
25,wants to be treated right,just doesn't want to be treated wrong,-0.3,-0.0,0.28,0.25,False,1,True,False,False
26,humble,can be a bit arrogant,0.37,0.24,0.68,-0.01,False,1,True,False,True
27,wants a destiny,afraid of fate,-0.2,-0.13,0.19,0.06,False,1,True,False,False
28,can be a bit arrogant,humble,-0.32,-0.17,-0.63,0.06,False,1,True,False,True
29,wants people's respect,wants their love,0.22,-0.37,-1.18,0.4,False,1,True,True,False
30,confident,unsure,-0.92,-0.1,-0.4,0.33,False,1,True,False,False
31,commits,keeps options open,0.04,0.25,0.14,0.87,False,1,True,True,False
32,"likes to know \""who?\"", \""what?\"", \""when?\""","likes to know \""why?\""",-0.18,0.73,0.04,0.19,False,1,True,True,False
33,manipulates things behind the scenes,leads from the front,1.12,-0.11,-0.13,0.04,False,1,True,False,True
34,trusting,paranoid,-0.6,0.12,0.43,-0.07,False,1,True,False,False
35,tricky,steady,-0.2,-0.26,-0.05,-0.52,False,1,True,False,False
36,assured by routine,bored by routine,0.6,0.59,-0.0,0.82,False,1,True,False,False
37,needs certainty,needs flexibility,0.44,0.39,-0.16,0.82,False,1,True,False,False
38,gets work done right away,procrastinates,-0.1,0.11,-0.29,0.93,False,1,True,True,False
39,feels unlucky,feels very lucky,0.68,0.05,-0.12,0.05,False,1,True,False,True
40,cares if something is good or bad,cares if something is true or false,-0.19,0.14,1.12,-0.12,False,1,True,False,False
41,methodical,astonishing,0.45,0.21,-0.51,0.72,False,1,True,False,False
42,cautious,bold,1.04,0.23,0.07,0.36,False,1,True,False,False
43,likes nature,likes human industry,0.17,-0.0,0.52,-0.03,False,1,True,False,False
44,caffeine (or other stimulant) gives a major boost,hardly notices the effects,-0.31,-0.13,0.28,-0.01,False,1,True,False,False
45,somber,enthusiastic,1.33,-0.02,-0.54,0.31,False,1,True,False,False
46,wants loyal friends,wants fun friends,0.5,-0.07,0.06,0.43,False,1,True,False,False
47,no one knows what they are talking about,some people know what they are talking about,0.36,-0.11,-0.32,0.02,False,1,True,False,False
48,sentimental,grim,-0.4,0.28,1.07,-0.13,False,1,True,False,False
49,like to listen to stories,likes to tell stories,0.94,0.1,-0.06,0.15,False,1,True,False,True
50,adapts to the world,wants the world to adapt to them,-0.23,0.33,0.26,-0.05,False,1,True,False,False
51,double checks their work,hopes for the best,0.44,0.07,-0.35,0.82,False,1,True,False,False
52,"if a lawyer, would prefer to be a prosecutor",would prefer to be defense attorney,-0.11,0.15,-0.65,0.28,False,1,True,False,False
53,"will say \""these are the things I have made\""","will say \""these are the things I have designed\""",-0.05,0.63,0.39,0.08,True,2,False,False,False
54,good with names,bad with names,-0.23,0.25,0.24,0.14,False,1,True,False,False
55,likes to eavesdrop,finds other people's conversations too boring,-0.21,0.2,0.55,-0.14,False,1,True,False,False
56,decides,guesses,-0.02,-0.04,-0.56,0.94,False,1,True,False,False
57,sceptical,wants to believe,0.46,-0.18,-1.17,0.18,False,1,True,True,True
58,has been through a lot of tough times,has had an easy life,0.17,-0.21,0.19,0.3,False,1,True,False,False
59,abstains,indulges,0.57,-0.09,-0.27,0.39,False,1,True,False,False
60,answers mail right away,gets behind on answering mail,-0.16,0.2,-0.12,0.7,False,1,True,False,False
61,fears sharing secrets,enjoys sharing secrets,0.97,-0.1,-0.5,0.3,False,1,True,False,False
62,wants to impress authority,rebels against authority,-0.1,0.56,0.32,0.53,False,1,True,False,False
63,careful,lives dangerously,0.76,0.27,0.01,0.71,False,1,True,False,False
64,careful,spontaneous,0.99,0.11,-0.25,0.85,False,1,True,False,False
65,always finishes sentences,can trail off in the middle of a sentences,-0.19,0.16,-0.47,0.63,False,1,True,False,False
66,reads books,watches movies,0.37,-0.25,-0.27,0.19,False,1,True,False,False
67,"when describing an event, will tell people what happened","when describing an event, will tell people what it meant",-0.03,0.74,-0.26,0.15,False,1,True,True,False
68,likes being drunk,feels uncomfortable when drunk,-0.61,-0.05,0.15,-0.52,False,1,True,False,False
69,energetic,mellow,-1.24,0.11,0.15,0.05,False,1,True,True,True
70,sincere,sarcastic,-0.06,0.03,0.87,0.04,False,1,True,False,False
71,always has a backup plan,never needs a backup plan,0.21,-0.03,-0.16,0.6,False,1,True,False,False
72,appreciates the scenery around them,too distracted to take a look,-0.09,0.14,0.42,-0.04,False,1,True,False,False
73,worries most about tripping and falling in the dark,imagines monsters in the dark,-0.02,0.36,-0.49,0.28,False,1,True,False,False
74,friendly,distant,-1.26,0.27,0.74,-0.13,False,1,True,False,False
75,seeks clarity,seeks harmony,0.16,-0.17,-1.05,0.34,False,1,True,False,False
76,fits in,stands out,-0.04,0.48,0.14,0.18,False,1,True,True,False
77,thinks about things from the top down,reasons from the bottom up,-0.24,0.14,0.05,0.11,False,1,True,False,False
78,would hate to be called weird,does not want to be thought of as normal,-0.1,0.36,0.12,0.31,False,1,True,False,False
79,well-rounded,deep,-0.64,0.42,-0.14,0.1,False,1,True,False,False
80,wants a normal lifespan,wants to live forever,0.34,0.57,0.28,0.12,False,1,True,False,False
81,enthusiastic,deliberate,-1.17,-0.04,0.8,-0.53,False,1,True,False,False
82,tries to be different,tries to be normal,-0.18,-0.43,0.0,-0.23,False,1,True,False,False
83,has not changed much,very different than before,0.37,0.16,-0.13,0.29,False,1,True,False,False
84,tense,relaxed,0.6,-0.1,-0.15,0.37,False,1,True,False,False
85,makes rules,breaks rules,0.44,0.45,0.06,0.86,False,1,True,False,False
86,literal,poetic,-0.05,0.64,-1.02,0.44,False,1,True,False,False
87,needs to work,only works because they must,-0.07,0.06,-0.23,0.78,False,1,True,False,False
88,liked school,hated school,-0.38,-0.06,-0.05,0.35,False,1,True,False,False
89,comes up with ideas and convinces other people of them,critically evaluates the ideas of others,-0.66,-0.26,0.26,-0.26,False,1,True,False,False
90,looks on the bright side,finds faults,-0.64,0.08,0.7,-0.41,False,1,True,False,False
91,thinks it is better to be naive,thinks it is better to be paranoid,-0.38,0.11,0.56,-0.24,False,1,True,False,False
92,worries about getting scammed all the time,too trusting,0.37,-0.15,-0.58,0.15,False,1,True,False,False
93,jealous,greedy,0.14,-0.0,0.38,0.04,False,1,True,False,False
94,worried about the dangers of technology,thinks technology is always good,0.05,-0.15,0.4,0.15,False,1,True,False,False
95,listens more,talks more,1.37,-0.06,-0.09,0.23,False,1,True,True,False
96,wants to believe,sceptical,-0.39,0.17,1.1,-0.16,False,1,True,True,True
97,prefers to be first mate,prefers to be captain,0.93,0.18,0.36,-0.11,False,1,True,False,False
98,flowing,twitching,-0.24,-0.06,0.13,0.04,False,1,True,False,False
99,sticks to the plan,adapts the plan on the fly,0.49,0.4,-0.12,1.07,False,1,True,False,False
100,idealistic,cynical,-0.45,-0.27,0.83,-0.35,False,1,True,False,False
101,artistic,scientific,-0.21,-0.13,1.08,-0.42,False,1,True,False,False
102,has deep interests,has many interests,0.72,-0.15,0.05,0.32,False,1,True,False,True
103,finds natural disasters exciting,finds natural disasters tragic,0.05,-0.29,-0.66,-0.2,False,1,True,False,False
104,accepts things as they are,unsatisfied with the ways things are,-0.06,0.55,0.15,0.0,False,1,True,True,False
