context,a,b,scale,pair_id,generated_a,generated_b,same_context,polarity,balanced_valence,ok,comment,reversed_corrected,accepted,generated_pair_key,duplicate_generated_pair,analysis_positive,analysis_negative,positive_pole,negative_pole
Eating lunch at the office.,I sit at the large communal table to catch up with colleagues from different departments.,I find a quiet corner or eat at my desk so I can read and unwind.,IE,0,I sit at the large communal table to catch up with colleagues from different departments.,I find a quiet corner or eat at my desk so I can read and unwind.,True,correct,True,True,"Statement A reflects extraversion (social lunchtime), while B reflects introversion (quiet lunchtime).",False,True,i find a quiet corner or eat at my desk so i can read and unwind || i sit at the large communal table to catch up with colleagues from different departments,False,I sit at the large communal table to catch up with colleagues from different departments.,I find a quiet corner or eat at my desk so I can read and unwind.,E,I
A ten-minute break during a long seminar.,I strike up conversations with nearby participants to discuss the presentation and exchange contact info.,I step outside for some fresh air and check my phone in a quiet spot.,IE,1,I strike up conversations with nearby participants to discuss the presentation and exchange contact info.,I step outside for some fresh air and check my phone in a quiet spot.,True,correct,True,True,"Statement A represents extraverted behavior during a break, and B represents introverted, reflective behavior.",False,True,i step outside for some fresh air and check my phone in a quiet spot || i strike up conversations with nearby participants to discuss the presentation and exchange contact info,False,I strike up conversations with nearby participants to discuss the presentation and exchange contact info.,I step outside for some fresh air and check my phone in a quiet spot.,E,I
Planning activities for a free Saturday.,I organize a group outing or dinner party with several friends to catch up.,"I plan a quiet day at home reading, gardening, or working on my hobbies.",IE,2,I organize a group outing or dinner party with several friends to catch up.,"I plan a quiet day at home reading, gardening, or working on my hobbies.",True,correct,True,True,"Statement A describes a social weekend outing (extraverted), and B describes a solitary day at home (introverted).",False,True,i organize a group outing or dinner party with several friends to catch up || i plan a quiet day at home reading gardening or working on my hobbies,False,I organize a group outing or dinner party with several friends to catch up.,"I plan a quiet day at home reading, gardening, or working on my hobbies.",E,I
Starting a new collaborative project.,I suggest a brainstorming session where everyone can yell out ideas and bounce thoughts off each other.,I prefer to review the project brief alone first and write down my thoughts before we meet.,IE,3,I suggest a brainstorming session where everyone can yell out ideas and bounce thoughts off each other.,I prefer to review the project brief alone first and write down my thoughts before we meet.,True,correct,True,True,"Statement A shows external, active collaborative brainstorming, while B shows solitary preparation and reflection.",False,True,i prefer to review the project brief alone first and write down my thoughts before we meet || i suggest a brainstorming session where everyone can yell out ideas and bounce thoughts off each other,False,I suggest a brainstorming session where everyone can yell out ideas and bounce thoughts off each other.,I prefer to review the project brief alone first and write down my thoughts before we meet.,E,I
Arriving at a large social gathering.,"I move around the room, introducing myself to new people and joining different conversations.",I find a comfortable spot and spend the evening chatting deeply with a few people I know.,IE,4,"I move around the room, introducing myself to new people and joining different conversations.",I find a comfortable spot and spend the evening chatting deeply with a few people I know.,True,correct,True,True,"Statement A highlights seeking broad social stimulation, whereas B shows a preference for deep, quiet contact.",False,True,i find a comfortable spot and spend the evening chatting deeply with a few people i know || i move around the room introducing myself to new people and joining different conversations,False,"I move around the room, introducing myself to new people and joining different conversations.",I find a comfortable spot and spend the evening chatting deeply with a few people I know.,E,I
Commuting on a bus or train.,I sometimes chat with fellow passengers or make friendly small talk about the weather.,I put in my headphones or read a book to keep to myself during the trip.,IE,5,I sometimes chat with fellow passengers or make friendly small talk about the weather.,I put in my headphones or read a book to keep to myself during the trip.,True,correct,True,True,"Statement A describes social engagement during a commute, while B describes choosing quiet solitude.",False,True,i put in my headphones or read a book to keep to myself during the trip || i sometimes chat with fellow passengers or make friendly small talk about the weather,False,I sometimes chat with fellow passengers or make friendly small talk about the weather.,I put in my headphones or read a book to keep to myself during the trip.,E,I
Finding out you got a promotion.,I immediately call my friends and family to share the news and celebrate together.,I quietly process my success first and tell my partner or closest friend later.,IE,6,I immediately call my friends and family to share the news and celebrate together.,I quietly process my success first and tell my partner or closest friend later.,True,correct,True,True,"Statement A is an outgoing, expressive reaction to news, while B is reflective and private.",False,True,i immediately call my friends and family to share the news and celebrate together || i quietly process my success first and tell my partner or closest friend later,False,I immediately call my friends and family to share the news and celebrate together.,I quietly process my success first and tell my partner or closest friend later.,E,I
Taking a class to learn a new language or hobby.,"I prefer interactive group exercises, role-playing, and practicing with my classmates.",I prefer working through structured exercises and reading textbooks at my own pace.,IE,7,"I prefer interactive group exercises, role-playing, and practicing with my classmates.",I prefer working through structured exercises and reading textbooks at my own pace.,True,correct,True,True,"Statement A shows a preference for interactive, social learning, while B shows a preference for independent study.",False,True,i prefer interactive group exercises role playing and practicing with my classmates || i prefer working through structured exercises and reading textbooks at my own pace,False,"I prefer interactive group exercises, role-playing, and practicing with my classmates.",I prefer working through structured exercises and reading textbooks at my own pace.,E,I
Resolving a disagreement in a team meeting.,I voice my opinions immediately and enjoy debating the issue openly with the team.,"I listen to everyone's points, think them over, and contribute once I have formulated my thoughts.",IE,8,I voice my opinions immediately and enjoy debating the issue openly with the team.,"I listen to everyone's points, think them over, and contribute once I have formulated my thoughts.",True,correct,True,True,"Statement A represents immediate verbal processing and open debate, and B represents listening and reflecting before speaking.",False,True,i listen to everyone s points think them over and contribute once i have formulated my thoughts || i voice my opinions immediately and enjoy debating the issue openly with the team,False,I voice my opinions immediately and enjoy debating the issue openly with the team.,"I listen to everyone's points, think them over, and contribute once I have formulated my thoughts.",E,I
Deciding how to spend the evening after a busy day at work.,I meet up with friends at a lively restaurant to talk and unwind.,I go straight home to cook a meal and watch a movie by myself.,IE,9,I meet up with friends at a lively restaurant to talk and unwind.,I go straight home to cook a meal and watch a movie by myself.,True,correct,True,True,"Statement A is unwinding through social activity, and B is unwinding through solitude.",False,True,i go straight home to cook a meal and watch a movie by myself || i meet up with friends at a lively restaurant to talk and unwind,False,I meet up with friends at a lively restaurant to talk and unwind.,I go straight home to cook a meal and watch a movie by myself.,E,I
